city,state_code,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size
SILVER SPRING,MD,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6
QUINCY,MA,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39
HOOVER,AL,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58
RANCHO CUCAMONGA,CA,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18
NEWARK,NJ,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73
PEORIA,IL,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4
AVONDALE,AZ,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18
WEST COVINA,CA,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56
O'FALLON,MO,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77
HIGH POINT,NC,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65
FOLSOM,CA,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62
PHILADELPHIA,PA,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61
WICHITA,KS,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56
FORT MYERS,FL,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45
PITTSBURGH,PA,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13
LAREDO,TX,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66
BERKELEY,CA,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35
SANTA CLARA,CA,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75
ALLEN,PA,33.5,60626.0,59581.0,120207,5691.0,19652.0,2.67
HAMPTON,VA,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48
BOLINGBROOK,IL,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42
FREDERICK,MD,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48
SPARKS,NV,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63
RANCHO CORDOVA,CA,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86
WESTMINSTER,CO,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63
LAKEWOOD,CO,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29
FLINT,MI,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38
NEW HAVEN,CT,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48
BROOKLYN PARK,MN,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85
CHULA VISTA,CA,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32
DANBURY,CT,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74
FRAMINGHAM,MA,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49
SAINT PETERSBURG,FL,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42
MIAMI GARDENS,FL,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75
SALT LAKE CITY,UT,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38
SUFFOLK,VA,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72
NORTH LITTLE ROCK,AR,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62
JURUPA VALLEY,CA,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87
LOS ANGELES,CA,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86
FLOWER MOUND,TX,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01
VACAVILLE,CA,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9
CLARKSVILLE,TN,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64
NEW BRITAIN,CT,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52
TULSA,OK,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37
SEATTLE,WA,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13
MESA,AZ,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68
YONKERS,NY,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8
CAMDEN,NJ,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0
ALEXANDRIA,VA,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2
JONESBORO,AR,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44
EL MONTE,CA,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67
ROSWELL,GA,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7
OMAHA,NE,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47
TROY,MI,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59
WINSTON-SALEM,NC,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47
CORPUS CHRISTI,TX,35.0,160488.0,163594.0,324082,25078.0,30834.0,2.69
ATLANTA,GA,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15
BRYAN,TX,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55
LYNCHBURG,VA,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48
COLUMBIA,MD,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68
KILLEEN,TX,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72
NASHVILLE,TN,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39
SOMERVILLE,MA,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43
BAKERSFIELD,CA,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23
MONTGOMERY,AL,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41
HUNTSVILLE,AL,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18
GREENSBORO,NC,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36
TURLOCK,CA,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76
LYNWOOD,CA,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43
EL PASO,TX,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03
LEXINGTON-FAYETTE  COUNTY,KY,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34
ROCK HILL,SC,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29
RICHARDSON,TX,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83
WACO,TX,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57
SAN BUENAVENTURA,CA,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68
STAMFORD,CT,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7
VALLEJO,CA,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83
DENVER,CO,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33
SPRINGDALE,AR,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04
CHINO,CA,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62
TOMS RIVER,NJ,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71
LYNN,MA,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81
LAWTON,OK,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72
GARLAND,TX,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12
LAYTON,UT,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24
BLOOMINGTON,IL,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34
NEWTON,MA,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71
CLEARWATER,FL,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4
KENNER,LA,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57
LAS CRUCES,NM,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58
YAKIMA,WA,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74
DES MOINES,IA,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41
WICHITA FALLS,TX,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41
WILMINGTON,NC,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24
CRANSTON,RI,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56
AMARILLO,TX,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64
BUFFALO,NY,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27
LIVONIA,MI,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52
SAN LEANDRO,CA,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79
FRESNO,CA,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12
SAINT GEORGE,UT,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81
SAN JUAN,PR,41.4,155408.0,186829.0,342237,,,
REDLANDS,CA,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82
THOUSAND OAKS,CA,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79
RIO RANCHO,NM,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86
PROVO,UT,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28
TALLAHASSEE,FL,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38
AURORA,IL,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3
MINNEAPOLIS,MN,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26
ANAHEIM,CA,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45
SAN MARCOS,CA,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13
NORWALK,CA,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88
FORT WORTH,TX,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88
CAMBRIDGE,MA,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06
DEERFIELD BEACH,FL,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46
BEAUMONT,TX,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47
SPRING VALLEY,NV,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79
SIOUX CITY,IA,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57
ALAFAYA,FL,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94
WASHINGTON,DC,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24
GRAND PRAIRIE,TX,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18
WAUKESHA,WI,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35
MIAMI BEACH,FL,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1
NORTH LAS VEGAS,NV,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31
FORT SMITH,AR,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44
SALINAS,CA,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72
SPRINGFIELD,IL,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22
BELLINGHAM,WA,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44
GREEN BAY,WI,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37
MAPLE GROVE,MN,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64
ESCONDIDO,CA,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27
ROCKFORD,IL,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52
MEMPHIS,TN,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55
CAGUAS,PR,40.4,34743.0,42265.0,77008,,,
METAIRIE,LA,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39
TRACY,CA,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42
CHAMPAIGN,IL,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25
WEST PALM BEACH,FL,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53
BEAVERTON,OR,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46
OGDEN,UT,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68
DECATUR,IL,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23
POMPANO BEACH,FL,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55
NASHUA,NH,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46
VANCOUVER,WA,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49
FARGO,ND,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18
EL CAJON,CA,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14
LANCASTER,CA,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25
WILMINGTON,DE,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45
MIRAMAR,FL,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41
RIVERVIEW,FL,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22
ARLINGTON HEIGHTS,IL,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38
LORAIN,OH,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52
MESQUITE,TX,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96
APPLETON,WI,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49
JOHNS CREEK,GA,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19
NAMPA,ID,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98
STERLING HEIGHTS,MI,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66
TACOMA,WA,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48
MANCHESTER,NH,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4
OVERLAND PARK,KS,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41
CICERO,IL,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89
