city,state_code,race,count
SILVER SPRING,MD,Hispanic or Latino,25924
QUINCY,MA,White,58723
HOOVER,AL,Asian,4759
RANCHO CUCAMONGA,CA,Black or African-American,24437
NEWARK,NJ,White,76402
PEORIA,IL,American Indian and Alaska Native,1343
AVONDALE,AZ,Black or African-American,11592
WEST COVINA,CA,Asian,32716
O'FALLON,MO,Hispanic or Latino,2583
HIGH POINT,NC,Asian,11060
FOLSOM,CA,Hispanic or Latino,5822
FOLSOM,CA,American Indian and Alaska Native,998
PHILADELPHIA,PA,Asian,122721
WICHITA,KS,Hispanic or Latino,65162
WICHITA,KS,American Indian and Alaska Native,8791
FORT MYERS,FL,White,50169
PITTSBURGH,PA,White,208863
LAREDO,TX,American Indian and Alaska Native,1253
BERKELEY,CA,Asian,27089
SANTA CLARA,CA,White,55847
ALLEN,PA,Black or African-American,22304
HAMPTON,VA,Black or African-American,70303
BOLINGBROOK,IL,American Indian and Alaska Native,323
FREDERICK,MD,White,49181
SPARKS,NV,Hispanic or Latino,29159
RANCHO CORDOVA,CA,Asian,12653
WESTMINSTER,CO,Hispanic or Latino,23355
LAKEWOOD,CO,Hispanic or Latino,33630
FLINT,MI,White,44786
NEW HAVEN,CT,American Indian and Alaska Native,2205
BROOKLYN PARK,MN,White,41760
CHULA VISTA,CA,Hispanic or Latino,156522
DANBURY,CT,Black or African-American,8454
FRAMINGHAM,MA,Black or African-American,6944
SAINT PETERSBURG,FL,White,179121
MIAMI GARDENS,FL,Black or African-American,85300
SALT LAKE CITY,UT,Asian,13153
SUFFOLK,VA,Black or African-American,39107
NORTH LITTLE ROCK,AR,Hispanic or Latino,4860
JURUPA VALLEY,CA,White,58201
LOS ANGELES,CA,White,2177650
FLOWER MOUND,TX,Hispanic or Latino,6149
VACAVILLE,CA,Black or African-American,18023
CLARKSVILLE,TN,American Indian and Alaska Native,2338
NEW BRITAIN,CT,White,56431
TULSA,OK,Black or African-American,72643
SEATTLE,WA,Hispanic or Latino,43060
MESA,AZ,American Indian and Alaska Native,16044
YONKERS,NY,Hispanic or Latino,73608
CAMDEN,NJ,White,19907
ALEXANDRIA,VA,American Indian and Alaska Native,1133
JONESBORO,AR,Black or African-American,14599
EL MONTE,CA,Black or African-American,307
ROSWELL,GA,Asian,7240
OMAHA,NE,Hispanic or Latino,63516
OMAHA,NE,Black or African-American,64223
TROY,MI,American Indian and Alaska Native,1677
WINSTON-SALEM,NC,American Indian and Alaska Native,1415
CORPUS CHRISTI,TX,White,292663
ATLANTA,GA,American Indian and Alaska Native,4606
BRYAN,TX,Black or African-American,11914
LYNCHBURG,VA,Black or African-American,23271
COLUMBIA,MD,Black or African-American,30075
KILLEEN,TX,American Indian and Alaska Native,2362
NASHVILLE,TN,Hispanic or Latino,67526
SOMERVILLE,MA,Asian,9498
BAKERSFIELD,CA,American Indian and Alaska Native,7357
MONTGOMERY,AL,White,73545
HUNTSVILLE,AL,American Indian and Alaska Native,1755
GREENSBORO,NC,Black or African-American,124108
TURLOCK,CA,Asian,5232
LYNWOOD,CA,Asian,994
EL PASO,TX,American Indian and Alaska Native,7359
LEXINGTON-FAYETTE  COUNTY,KY,American Indian and Alaska Native,3187
ROCK HILL,SC,Hispanic or Latino,2845
RICHARDSON,TX,Black or African-American,13256
WACO,TX,Black or African-American,29883
WACO,TX,Asian,4230
SAN BUENAVENTURA,CA,American Indian and Alaska Native,2808
STAMFORD,CT,Asian,11013
VALLEJO,CA,American Indian and Alaska Native,1671
DENVER,CO,Black or African-American,72288
SPRINGDALE,AR,American Indian and Alaska Native,547
CHINO,CA,American Indian and Alaska Native,4790
TOMS RIVER,NJ,White,79538
LYNN,MA,Black or African-American,18240
LYNN,MA,Asian,9205
LAWTON,OK,Black or African-American,25767
GARLAND,TX,Hispanic or Latino,90989
GARLAND,TX,Asian,27217
LAYTON,UT,Asian,2889
BLOOMINGTON,IL,Asian,6549
NEWTON,MA,Black or African-American,2925
CLEARWATER,FL,White,97195
CLEARWATER,FL,Asian,2434
CLEARWATER,FL,American Indian and Alaska Native,867
KENNER,LA,Black or African-American,17172
LAS CRUCES,NM,Asian,3266
YAKIMA,WA,Hispanic or Latino,44172
DES MOINES,IA,Asian,15205
WICHITA FALLS,TX,American Indian and Alaska Native,1503
HUNTSVILLE,AL,Hispanic or Latino,10887
WILMINGTON,NC,Asian,3152
CRANSTON,RI,Asian,5978
AMARILLO,TX,White,174214
EL PASO,TX,Asian,12370
BUFFALO,NY,Asian,14518
LIVONIA,MI,White,87383
SAN LEANDRO,CA,Hispanic or Latino,26894
FRESNO,CA,American Indian and Alaska Native,11380
SAINT GEORGE,UT,Black or African-American,1376
SAN JUAN,PR,Hispanic or Latino,335559
REDLANDS,CA,White,55241
CHINO,CA,Hispanic or Latino,45495
CHINO,CA,White,44543
THOUSAND OAKS,CA,White,108375
RIO RANCHO,NM,American Indian and Alaska Native,4857
PROVO,UT,White,108471
PROVO,UT,American Indian and Alaska Native,1916
NEWTON,MA,Hispanic or Latino,4790
TALLAHASSEE,FL,Hispanic or Latino,13538
AURORA,IL,Asian,17190
MINNEAPOLIS,MN,Hispanic or Latino,39981
LAS CRUCES,NM,White,91201
ANAHEIM,CA,Hispanic or Latino,201593
SAN MARCOS,CA,Black or African-American,4447
NORWALK,CA,White,46998
FORT WORTH,TX,White,575180
FORT WORTH,TX,American Indian and Alaska Native,7504
CAMBRIDGE,MA,Asian,18441
DEERFIELD BEACH,FL,White,53037
BEAUMONT,TX,American Indian and Alaska Native,908
SPRING VALLEY,NV,Black or African-American,29031
SPRING VALLEY,NV,Asian,45059
SIOUX CITY,IA,White,70513
ALAFAYA,FL,White,63666
WASHINGTON,DC,Black or African-American,328786
GRAND PRAIRIE,TX,Black or African-American,54934
WAUKESHA,WI,White,66757
MIAMI BEACH,FL,Asian,2772
NORTH LAS VEGAS,NV,American Indian and Alaska Native,4739
FORT SMITH,AR,White,66004
AVONDALE,AZ,Asian,2828
SALINAS,CA,Asian,11227
SPRINGFIELD,IL,Asian,3871
O'FALLON,MO,Black or African-American,5136
HIGH POINT,NC,Black or African-American,39369
BELLINGHAM,WA,American Indian and Alaska Native,2056
GREEN BAY,WI,Black or African-American,7561
MAPLE GROVE,MN,White,59683
LAREDO,TX,White,246442
ESCONDIDO,CA,American Indian and Alaska Native,3151
ROCKFORD,IL,Hispanic or Latino,28923
MEMPHIS,TN,Asian,15778
HAMPTON,VA,Hispanic or Latino,7513
CAGUAS,PR,Hispanic or Latino,76349
METAIRIE,LA,White,124270
TRACY,CA,American Indian and Alaska Native,2120
CHAMPAIGN,IL,White,58099
WEST PALM BEACH,FL,White,60648
BEAVERTON,OR,Black or African-American,3100
OGDEN,UT,White,74960
DECATUR,IL,Hispanic or Latino,1709
FLINT,MI,Hispanic or Latino,2525
FLINT,MI,Black or African-American,55137
FLINT,MI,Asian,657
DANBURY,CT,Hispanic or Latino,25145
FRAMINGHAM,MA,Hispanic or Latino,13000
POMPANO BEACH,FL,Black or African-American,38653
NASHUA,NH,Hispanic or Latino,10511
VANCOUVER,WA,Hispanic or Latino,23184
NASHVILLE,TN,Asian,27355
TULSA,OK,Hispanic or Latino,61217
SEATTLE,WA,White,511401
FARGO,ND,Asian,4646
EL CAJON,CA,Black or African-American,7534
LANCASTER,CA,Asian,8654
WILMINGTON,DE,Asian,1193
WILMINGTON,DE,American Indian and Alaska Native,414
MIRAMAR,FL,Black or African-American,65840
RIVERVIEW,FL,American Indian and Alaska Native,726
ARLINGTON HEIGHTS,IL,Asian,9975
LORAIN,OH,American Indian and Alaska Native,904
MESQUITE,TX,White,98597
APPLETON,WI,Black or African-American,3407
JOHNS CREEK,GA,Asian,24289
NAMPA,ID,American Indian and Alaska Native,2167
OMAHA,NE,Asian,19105
STERLING HEIGHTS,MI,Black or African-American,8054
TACOMA,WA,Black or African-American,30914
MANCHESTER,NH,Hispanic or Latino,11962
OVERLAND PARK,KS,White,161153
CICERO,IL,Asian,1193
WESTON,FL,Black or African-American,3697
MERIDIAN,ID,Asian,2693
MERIDIAN,ID,American Indian and Alaska Native,492
SALT LAKE CITY,UT,American Indian and Alaska Native,3488
TRENTON,NJ,Asian,1437
TEMECULA,CA,Black or African-American,5698
SAINT CHARLES,MO,White,58662
ANTIOCH,CA,White,51151
TULSA,OK,White,279127
EUGENE,OR,Asian,11073
EDINBURG,TX,Hispanic or Latino,74698
