id,type,name,elevation_ft,municipality,gps_code,iata_code,local_code,latitude,longitude,state_code
07FA,small_airport,Ocean Reef Club Airport,8.0,Key Largo,07FA,OCA,07FA, 25.325399398804,-80.274803161621,FL
0AK,small_airport,Pilot Station Airport,305.0,Pilot Station,,PQS,0AK, 61.934601,-162.899994,AK
0CO2,small_airport,Crested Butte Airpark,8980.0,Crested Butte,0CO2,CSE,0CO2, 38.851918,-106.928341,CO
0TE7,small_airport,LBJ Ranch Airport,1515.0,Johnson City,0TE7,JCY,0TE7, 30.251800537100003,-98.62249755859999,TX
13MA,small_airport,Metropolitan Airport,418.0,Palmer,13MA,PMX,13MA, 42.223300933800004,-72.31140136719999,MA
13Z,seaplane_base,Loring Seaplane Base,0.0,Loring,13Z,WLR,13Z, 55.6012992859,-131.636993408,AK
16A,small_airport,Nunapitchuk Airport,12.0,Nunapitchuk,PPIT,NUP,16A, 60.905591,-162.440454,AK
16K,seaplane_base,Port Alice Seaplane Base,0.0,Port Alice,16K,PTC,16K, 55.803,-133.597,AK
19AK,small_airport,Icy Bay Airport,50.0,Icy Bay,19AK,ICY,19AK, 59.96900177,-141.662002563,AK
19P,seaplane_base,Port Protection Seaplane Base,0.0,Port Protection,19P,PPV,19P, 56.328800201416,-133.61000061035,AK
1KC,small_airport,Kalakaket Creek AS Airport,1598.0,Kalakaket Creek,1KC,KKK,1KC, 64.4166256967,-156.820392609,AK
1O6,small_airport,Dunsmuir Muni-Mott Airport,3258.0,Dunsmuir,KMHS,MHS,1O6, 41.263199,-122.272003,CA
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,4100.0,Whitmore,,GCT,1Z1, 36.259701,-113.231003,AZ
1Z9,seaplane_base,Ellamar Seaplane Base,0.0,Ellamar,,ELW,1Z9, 60.893818,-146.704038,AK
2AK,small_airport,Lime Village Airport,552.0,Lime Village,2AK,LVD,2AK, 61.3591003418,-155.440002441,AK
2AK3,heliport,Five Finger CG Heliport,48.0,Five Finger,2AK3,FIV,2AK3, 57.26990127559999,-133.630996704,AK
2AK6,small_airport,Hog River Airport,534.0,Hogatza,2AK6,HGZ,2AK6, 66.2161026,-155.6690063,AK
2IG4,small_airport,Ed-Air Airport,426.0,Oaktown,I20,OTN,I20, 38.851398468,-87.4997024536,IN
2K5,small_airport,Telida Airport,650.0,Telida,2K5,TLF,2K5, 63.393901824951,-153.26899719238,AK
2TE0,small_airport,Eagle Air Park,15.0,Brazoria,2TE0,BZT,2TE0, 28.982200622559,-95.579696655273,TX
2Z1,seaplane_base,Entrance Island Seaplane Base,0.0,Entrance Island,,HBH,, 57.412201,-133.43848,AK
2Z6,seaplane_base,False Island Seaplane Base,,False Island,2Z6,FAK,2Z6, 57.5321998596,-135.212997437,AK
38WA,small_airport,Blakely Island Airport,66.0,Blakely Island,38WA,BYW,38WA, 48.578998565700005,-122.825996399,WA
3AK5,small_airport,Drift River Airport,30.0,Kenai,3AK5,DRF,3AK5, 60.588901519800004,-152.162002563,AK
3IS8,small_airport,Rinkenberger Restricted Landing Area,808.0,Bradford,3IS8,BDF,3IS8, 41.230899810800004,-89.61569976810001,IL
3VS,small_airport,Roy Otten Memorial Airfield,1030.0,Versailles,3VS,VRS,3VS, 38.427799224854,-92.875198364258,MO
3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,91.0,Golden Horn Lodge,3Z8,GDH,3Z8, 59.7470016479,-158.875,AK
4A2,small_airport,Atmautluak Airport,17.0,Atmautluak,,ATT,4A2, 60.866699,-162.272995,AK
4AK,small_airport,Livengood Camp Airport,425.0,Livengood,4AK,LIV,4AK, 65.467,-148.6534,AK
4K0,small_airport,Pedro Bay Airport,45.0,Pedro Bay,4K0,PDB,4K0, 59.7896003723,-154.12399292,AK
4K5,small_airport,Ouzinkie Airport,55.0,Ouzinkie,,KOZ,4K5, 57.925362,-152.496715,AK
4KA,small_airport,Tununak Airport,14.0,Tununak,4KA,TNK,4KA, 60.575500488281,-165.27200317383,AK
4TE8,closed,Ben Bruce Memorial Airpark,44.0,Evadale,4TE8,EVA,4TE8, 30.3209991455,-94.07350158690001,TX
4Z7,seaplane_base,Hyder Seaplane Base,,Hyder,,WHD,4Z7, 55.903324,-130.009975,AK
57A,seaplane_base,Tokeen Seaplane Base,,Tokeen,57A,TKI,57A, 55.9370994568,-133.32699585,AK
5A8,medium_airport,Aleknagik / New Airport,66.0,Aleknagik,5A8,WKK,5A8, 59.2826004028,-158.617996216,AK
5KE,seaplane_base,Ketchikan Harbor Seaplane Base,,Ketchikan,,WFB,5KE, 55.349899,-131.677002,AK
