municipality,port_code,state_code
ALCAN,ALC,AK
ANCHORAGE,ANC,AK
BAKER AAF - BAKER ISLAND,BAR,AK
DALTONS CACHE,DAC,AK
DEW STATION PT LAY DEW,PIZ,AK
DUTCH HARBOR,DTH,AK
EAGLE,EGL,AK
FAIRBANKS,FRB,AK
HOMER,HOM,AK
HYDER,HYD,AK
JUNEAU,JUN,AK
KETCHIKAN,5KE,AK
KETCHIKAN,KET,AK
MOSES POINT INTERMEDIATE,MOS,AK
NIKISKI,NIK,AK
NOM,NOM,AK
POKER CREEK,PKC,AK
PORT LIONS SPB,ORI,AK
SKAGWAY,SKA,AK
ST. PAUL ISLAND,SNP,AK
TOKEEN,TKI,AK
WRANGELL,WRA,AK
MADISON COUNTY - HUNTSVILLE,HSV,AL
MOBILE,MOB,AL
ROGERS ARPT,ROG,AR
DOUGLAS,DOU,AZ
LUKEVILLE,LUK,AZ
NACO,NAC,AZ
NOGALES,NOG,AZ
PHOENIX,PHO,AZ
PORTAL,POR,AZ
SAN LUIS,SLU,AZ
SASABE,SAS,AZ
TUCSON,TUC,AZ
YUMA,YUI,AZ
ANDRADE,AND,CA
BURBANK,BUR,CA
CALEXICO,CAL,CA
CAMPO,CAO,CA
FRESNO,FRE,CA
IMPERIAL COUNTY,ICP,CA
LONG BEACH,LNB,CA
LOS ANGELES,LOS,CA
MEADOWS FIELD - BAKERSFIELD,BFL,CA
OAKLAND,OAK,CA
ONTARIO,ONT,CA
OTAY MESA,OTM,CA
PACIFIC,BLT,CA
PALM SPRINGS,PSP,CA
SACRAMENTO,SAC,CA
SAN DIEGO,SDP,CA
SAN FRANCISCO,SFR,CA
SAN JOSE,SNJ,CA
SAN LUIS OBISPO,SLO,CA
SAN PEDRO,SPC,CA
SAN YSIDRO,SYS,CA
SANTA ANA,SAA,CA
TECATE,TEC,CA
TRAVIS-AFB,TRV,CA
ARAPAHOE COUNTY,APA,CO
COLORADO SPRINGS,COS,CO
DENVER,DEN,CO
LA PLATA - DURANGO,DRO,CO
BRADLEY INTERNATIONAL,BDL,CT
BRIDGEPORT,BGC,CT
GROTON,GRT,CT
HARTFORD,HAR,CT
NEW HAVEN,NWH,CT
NEW LONDON,NWL,CT
NEWINGTON DATA CENTER TEST,TST,CT
