id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
5765777,438,438,LOS,50,"","",1966,"",QF,2147483647,00093,WB,2016-04-30,2016-05-12,2016-04-30,2016-07-28,Air,Business
5769548,464,464,LOS,56,"","",1960,M,NZ,2147483647,00002,WB,2016-04-30,2016-05-05,2016-04-30,2016-07-28,Air,Business
5769549,464,464,LOS,46,"","",1970,M,NZ,2147483647,00002,WB,2016-04-30,2016-05-05,2016-04-30,2016-07-28,Air,Business
5814157,575,575,HOU,28,SNJ,"",1988,M,UA,2147483647,01097,B1,2016-04-30,2016-05-07,2016-04-30,2016-10-29,Air,Business
471696,135,135,SEA,43,"","",1973,"",BA,2147483647,00049,WB,2016-04-03,2016-04-06,2016-04-03,2016-07-01,Air,Business
474028,135,135,SEA,43,LND,"",1973,M,BA,2147483647,00049,I,2016-04-03,2016-04-11,2016-04-03,"",Air,Business
474036,135,135,SEA,43,LND,OTH,1973,F,BA,2147483647,00049,I,2016-04-03,2016-04-11,2016-04-03,"",Air,Business
490512,209,209,SEA,47,"","",1969,"",DL,2147483647,00166,WB,2016-04-03,2016-04-21,2016-04-03,2016-07-01,Air,Business
502237,245,245,DET,40,SHG,"",1976,M,DL,2147483647,00582,B1,2016-04-03,2016-04-09,2016-04-03,2016-04-22,Air,Business
523876,528,528,HOU,32,TGG,"",1984,M,NK,2147483647,00463,B1,2016-04-03,2016-04-10,2016-04-03,2016-10-02,Air,Business
629518,108,108,SEA,59,"","",1957,"",DL,2147483647,00143,WB,2016-04-04,2016-04-08,2016-04-04,2016-07-02,Air,Business
666210,135,135,SPM,58,"","",1958,M,DL,2147483647,00011,WB,2016-04-04,2016-04-14,2016-04-04,2016-07-02,Air,Business
668676,135,135,ATL,41,LND,"",1975,M,DL,2147483647,00031,B1,2016-04-04,2016-04-05,2016-04-04,2016-10-03,Air,Business
685745,209,209,SEA,36,"","",1980,"",DL,2147483647,00166,WB,2016-04-04,2016-04-15,2016-04-04,2016-07-02,Air,Business
